id,date,user,pc,filename,activity,to_removable_media,from_removable_media,content
{F3E2-X3MV05YQ-3516SZDT},01/02/2010 07:19:41,SDH2394,PC-5849,R:\60WBQE7S.doc,File Open,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Ernesztin's brother, Lipot Hoffmann, provided for the family and acted much like a father to the boys. Deprived of his artist friends, he also found that Americans rejected having their photos taken on the street. Frustrated, Kertesz left Keystone after Prince left the company in 1937."
{I6N1-Z7VL92UY-8715ESKQ},01/02/2010 07:21:30,SDH2394,PC-5849,R:\0VGILDW8.pdf,File Write,True,False,"25-50-44-46-2D ---- Bengali As do many other Tagore stories, Jibito o Mrito equips Bengalis with a ubiquitous epigram: Kadombini moriya proman korilo she more nai-""Kadombini died, thereby proving that she hadn't."" Tagore saw the partition as a ploy to upend the independence movement, and he aimed to rekindle Bengali unity and tar communalism. Tagore modernised Bengali art by spurning rigid classical forms and resisting linguistic strictures. Should I ever lag behind"
{G4X5-J7MH70FV-8936QVSB},01/02/2010 07:22:11,SDH2394,PC-5849,R:\60WBQE7S.doc,File Copy,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Ernesztin's brother, Lipot Hoffmann, provided for the family and acted much like a father to the boys. Deprived of his artist friends, he also found that Americans rejected having their photos taken on the street. Frustrated, Kertesz left Keystone after Prince left the company in 1937."
{M2M7-Z5ST21EU-6704NSKO},01/02/2010 07:24:06,SDH2394,PC-5849,R:\22B5gX4\H8Y96RRE.doc,File Write,True,False,"D0-CF-11-E0-A1-B1-1A-E1 After the death of his uncle, Nigel, then in East Anglia, revolted. The chronicle contains a number of complaints that Nigel oppressed the monks or despoiled them. Sixteen workers and other riverbank residents died of heat prostration between June 25 and July 26. Following the completion of the dam, the entrances to the two outer diversion tunnels were sealed at the opening and half way through the tunnels with large concrete plugs."
{R0A9-O9XB25PE-9236MALV},01/02/2010 07:24:45,SDH2394,PC-5849,R:\SDH2394\7XRCV2N5.pdf,File Copy,True,False,"25-50-44-46-2D Although he restored some of the lands that had been taken from the monks by Ranulf, the Liber Eliensis (the house chronicle of the monks of Ely) continued to decry his administration of the diocese and the lands of the cathedral chapter, alleging that ""he kept back for himself some properties of the church which he wanted, and very good ones they were"". The youngest son, Henry, received a grant of money, which he used to purchase a lordship in Normandy. Following William's death in 1087 his realm was divided between two of his sons."
{T1C9-A7BW31ZW-0408TSMQ},01/02/2010 07:25:10,SDH2394,PC-5849,R:\60WBQE7S.doc,File Copy,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Ernesztin's brother, Lipot Hoffmann, provided for the family and acted much like a father to the boys. Deprived of his artist friends, he also found that Americans rejected having their photos taken on the street. Frustrated, Kertesz left Keystone after Prince left the company in 1937."
{Y0N7-E6EJ23LX-3486GHCH},01/02/2010 07:26:30,SDH2394,PC-5849,R:\60WBQE7S.doc,File Write,True,False,"D0-CF-11-E0-A1-B1-1A-E1 Kertesz said this was one of his greatest times in the United States. As early as 1914 (for example, ""Eugene, 1914""), his distinctive and mature style was already evident. By the time he had saved enough, World War II had begun and travel to France was nearly impossible. Using a telephoto lens, he took a series of snow-covered Washington Square, showing numerous silhouettes and tracks."
{D5J4-S3AZ71KE-8915PYTL},01/02/2010 07:27:03,SDH2394,PC-5849,R:\60WBQE7S.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Kertesz said this was one of his greatest times in the United States. As early as 1914 (for example, ""Eugene, 1914""), his distinctive and mature style was already evident. By the time he had saved enough, World War II had begun and travel to France was nearly impossible. Using a telephoto lens, he took a series of snow-covered Washington Square, showing numerous silhouettes and tracks."
{U4B5-M9PO56AC-1319NFVD},01/02/2010 07:27:13,SDH2394,PC-5849,R:\22B5gX4\R6SQWEDC.jpg,File Open,False,True,FF-D8 
{Z4Z8-G2VU05EV-8184SUQX},01/02/2010 07:27:59,SDH2394,PC-5849,R:\22B5gX4\FX123ETW.txt,File Copy,True,False,"58-56-36-46 However, the administrative changes needed to make the abbey into a bishopric took longer, and were still unresolved at the time of Nigel's appointment. It is a biting commentary on attitudes of the Anglo-Norman episcopy to Anglo-Saxon art, that it was left to the pope to point out that such an artistic heirloom should never have left Ely in the first place and to order its return. They are important in marine ecology: as the infected bacteria burst, carbon compounds are released back into the environment, which stimulates fresh organic growth. Most viruses cannot be seen by light microscopy (in other words, they are sub-microscopic); their sizes range from 20 to 300 nm."
{N5L4-D0WZ38MB-3524AOOO},01/02/2010 07:30:49,SDH2394,PC-5849,R:\22B5gX4\E0P2SLZG.doc,File Write,True,False,"D0-CF-11-E0-A1-B1-1A-E1 Later in 1963, his work was shown in Paris at the Bibliotheque nationale de France. By the time he had saved enough, World War II had begun and travel to France was nearly impossible. His tenure was marked by conflicts with the monks of his cathedral chapter, who believed that Nigel kept income for himself that should properly have gone to them. In January 1140, he fortified the Isle of Ely, but was soon besieged and forced to flee."
{L4H7-H3WN46LI-1986WCZD},01/02/2010 07:32:11,ABM3641,PC-7385,C:\77h89S6\DQSH4LBO.doc,File Open,False,False,"D0-CF-11-E0-A1-B1-1A-E1 Several species of flies and beetles have been recorded using the fruit bodies to rear their young. He found that the first group tended to produce single isolated fruit bodies which had a thinner stipe and cap which was less inrolled at the margins, while the fruit bodies of the other two populations tended to appear in groups, and have thicker stipes, and caps with more inrolled and sometimes undulating margins. He soon began to make a name for himself in motion pictures such as Brewster's Millions in 1935, Men Are Not Gods in 1936 and Farewell Again in 1937. Although David Prowse played the costumed scenes and James Earl Jones voiced Skywalker's Darth Vader alter-ego, just as they had in the first two films, Shaw was cast in a single scene with Mark Hamill, during the moment aboard Death Star II when Anakin's son Luke unmasks his dying father."
{F2M7-G0SD50VC-2902NMWZ},01/02/2010 07:33:11,JKS2444,PC-6961,R:\MO7ZKB5B.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Montagnea arenaria is a whitish stalked puffball with a hollow, woody stalk and a loose sac-like volva at the base of the stem. George Edward Massee transferred it to the genus Gyrophragmium in 1891, because of its resemblance to the species Gyrophragmium delilei, and because he felt that the structure of the volva as well as the internal morphology of the gleba excluded it from Secotium. Molecular analysis based on the sequences of the partial large subunit of ribosomal DNA and of the internal transcribed spacers shows that A. deserticola is closely related to but distinct from A. aridicola. It was premiered by the dedicatees in September 1994. After showing improvisation skills on the piano Messiaen studied organ with Marcel Dupre and inherited the tradition of great French organists (Dupre had studied with Charles-Marie Widor and Louis Vierne, Vierne in turn was a pupil of Cesar Franck)."
{F7Z8-Q7HU31UR-8913ZGQD},01/02/2010 07:35:14,SDH2394,PC-5849,R:\22B5gX4\H8Y96RRE.doc,File Write,True,False,"D0-CF-11-E0-A1-B1-1A-E1 Even this did not end the quarrels with the monks, as Nigel then named a married clerk as sacrist of Ely, an action which was condemned by Thomas Becket, the new Archbishop of Canterbury. Most historians, then and now, have felt that Nigel's administrative abilities were excellent; he is considered to have been more talented as an administrator than as a religious figure. Although the Gesta Stephani, or Deeds of King Stephen, a medieval chronicle of the events of Stephen's reign, alleges that Roger was disloyal to Stephen, the evidence is against such action by Roger, as he had been an opponent of Matilda since 1126, when she was first put forward as her father's heir. For the dam to rest on solid rock, it was necessary to remove accumulated erosion soils and other loose materials in the riverbed until sound bedrock was reached. In addition to testing in 1941, the spillways were used because of flooding in 1983."
{T2S3-M5RM82YC-3536SHXL},01/02/2010 07:36:27,SDH2394,PC-5849,R:\SDH2394\FX123ETW.txt,File Copy,True,False,"4F-42-54-56 He was already a receiver, or auditor and administrator, in the treasury of Normandy, and he served as treasurer for both realms, moving with the king and court between England and Normandy. The king had to ask Nigel several times to return before the bishop agreed, and one reason for Nigel's reluctance may have been that he would have to work with Robert, Earl of Leicester, one of the Beaumonts, who had been responsible for turning Stephen against Nigel's family in 1139. Hepatitis B vaccine is an example of this type of vaccine. Whereas viruses such as influenza are spread through the air by people when they cough or sneeze, others such as norovirus, which are transmitted by the faecal-oral route, contaminate hands, food and water."
{A0R9-N1NA15QH-0076WSNV},01/02/2010 07:40:07,AXW3243,PC-4929,C:\NTFU9CKZ.doc,File Open,False,False,"D0-CF-11-E0-A1-B1-1A-E1 Bill Williams took over as manager in 1997 and proved to be Dover's most successful Conference manager, leading the club to the FA Trophy semi-finals in the 1997-98 season and a best ever league finish of sixth place in the 1999-2000 season. The highest home attendance in the club's history was 4,186 for a match against Oxford United in the first round proper of the FA Cup on 16 November 2002. In ""Brother from Another Series"", Reverend Lovejoy declares him a changed man and recommends him for a work release opportunity. Robert Underdunk Terwilliger, better known as Sideshow Bob, is a recurring character in the animated television series The Simpsons."
{P8F5-Z4EH54KL-8983NMTL},01/02/2010 07:41:22,ROR3483,PC-4365,R:\177Qcm8\1HZCKRL6.doc,File Open,False,True,"D0-CF-11-E0-A1-B1-1A-E1 A curious aspect of the official design is the absence of a segment of the Tropic of Capricorn, between the national shield and the ecliptic arc. Approximate tones are listed below: The background is vertically divided into two colours: dark green on the hoist side, and scarlet red on the fly. The amphitheater and the retaining wall built for the Pyramid are underwater. ""Beautiful Monte Ne"" was written by a Rogers local, Edward Wolfe, and copyrighted by Harvey in 1906."
{Z7O0-H6HE55NE-8852YFYW},01/02/2010 07:44:30,DJA0740,PC-7197,R:\AGIPAR8P.pdf,File Delete,False,True,"25-50-44-46-2D Public opinion turned firmly against the loggers by the 1880s, and the park was created in 1885. The park was further protected in 1894 when a clause was added to the New York State constitution which banned the selling of timber from state parks. He declared that the zoo was violating animal protection legislation by keeping him alive. As a result, its shares more than doubled at the Berlin Stock Exchange; previously worth around ?2,000, the value closed at ?4,820 just a week later."
{G1G1-X3AS32ZM-1610LMMR},01/02/2010 07:44:38,ROR3483,PC-4365,R:\ROR3483\W8Q4VPGC.doc,File Copy,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Sir Howard Colvin said that the ""utilitarian function"" of the tower ""accorded ill with its original ornamental purpose"", and that the architects had ""failed to find a satisfactory solution"" to the ""repetitive uniformity of fenestration"". The hall and its grand staircase, said Colvin, would have rivalled those of Christ Church. Urdu is an Indo-Aryan language of the Indo-Iranian branch, belonging to the Indo-European family of languages. Police arrested students and other protesters, who were released later despite refusing to post bail."
{F5E7-J8UL67UV-3017QSFO},01/02/2010 07:44:56,DJA0740,PC-7197,R:\36tgdN0\UNPCKDTO.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 One core theme of Lad: A Dog is the obtaining of perfect obedience without the use of force. By 1918, the stories had grown in popularity and Terhune was paid an average of $1000 each for the tales, with some selling for as much as $2,500,. When NY 373 was assigned in 1930, a small portion of it was maintained by the town of Chesterfield. New York State Route 373 (NY 373) is a short state highway in Essex County, New York, within Adirondack State Park."
{B5B8-F0OX23EE-1073SEHR},01/02/2010 07:46:32,DJA0740,PC-7197,R:\5FQUGKSO.jpg,File Open,False,True,FF-D8 
{Z7N0-J9MJ93QP-9340VSRD},01/02/2010 07:46:33,HID1899,PC-2433,C:\386lN89\F868J5R7.pdf,File Open,False,False,"25-50-44-46-2D The bay is often filled with pleasure craft as well as cargo ships from all over the world that use the Great Lakes shipping port. In 1921 it became a state park, and as of 2007 it hosts over 4 million visitors per year, the most of any Pennsylvania state park. Pennsylvania Route 832, which is the main road to the park, is also known as Peninsula Drive. However, he was sufficiently pleased with the work of the college to leave it most of his remaining fortune (which was more than ?3 million) when he died in 1963; most of the bequest, though, did not reach the college as it was needed to pay inheritance tax on Nuffield's estate. The tower has been described as ""ungainly"", and marred by repetitive windows."
{D0C6-L1PQ54GH-5841ZEZJ},01/02/2010 07:46:44,DJA0740,PC-7197,C:\AS31ZQDZ.doc,File Open,False,False,"D0-CF-11-E0-A1-B1-1A-E1 Delegates were only eligible to attend if they certified they had read and agreed with the principles of Harvey's newest book The Book, which dealt with the harmful effects of usury by the government. The group had lost its relevance and disbanded in 1924, but many of the roads they helped develop became part of the historic U.S. Route 66. Genetic mutations in the L-type calcium channel ?1-subunit (Cav1.1) have been described in Southern Chinese with TPP. There may be symptoms of thyroid overactivity, such as weight loss, a fast heart rate, tremor, and perspiration; but such symptoms occur in only half of all cases."
{F5C9-S5RI12RI-2625PKXZ},01/02/2010 07:47:36,DJA0740,PC-7197,R:\M96MARXE.doc,File Copy,False,True,"D0-CF-11-E0-A1-B1-1A-E1 The route then passes south of a golf course and enters Port Kent, where it intersects with more local streets, most of which serve homes and businesses. Adirondack Park was created in the 1880s after concerns arose about logging trees in the area. The highway that is now NY 373 was also designated as part of the Theodore Roosevelt International Highway in 1919. Mount Fee was named in September 1928 by British mountaineer Tom Fyles after Charles Fee (1865-1927), who was a member of the British Columbia Mountaineering Club in Vancouver at the time. This includes springs found at Shovelnose Creek and Turbid Creek on the southern flank of Mount Cayley and Brandywine Creek on the eastern flank of the volcanic field."
